stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
71092,71092,SMART Cotati,38.330935699,-122.691054151,79988,The station is located at 980 East Cotati Ave. It is adjacent to the Sonoma County Transit Intermodal Transit Facility.,https://www.sonomamarintrain.org/stations/COT,0,7109,,1,
71091,71091,SMART Cotati,38.331074425,-122.690985057,79988,The station is located at 980 East Cotati Ave. It is adjacent to the Sonoma County Transit Intermodal Transit Facility.,https://www.sonomamarintrain.org/stations/COT,0,7109,,1,
7109,7109,SMART Cotati,38.3309596816,-122.6910795304,79988,,https://www.sonomamarintrain.org/stations/COT,1,,America/Los_Angeles,1,
71011,71011,SMART Larkspur,37.947812834,-122.512482504,79989,,https://sonomamarintrain.org/stations/LAR,0,7101,,1,
7101,7101,SMART Larkspur,37.9478085168,-122.512485269,79989,,https://sonomamarintrain.org/stations/LAR,1,,America/Los_Angeles,1,
71012,71012,SMART Larkspur,37.947804843,-122.512488322,79989,,https://sonomamarintrain.org/stations/LAR,0,7101,,1,
71031,71031,SMART Marin Civic Center,38.001247404,-122.537755576,79989,The station is located at 3801 Civic Center Drive.,https://www.sonomamarintrain.org/stations/MCC,0,7103,,1,
7103,7103,SMART Marin Civic Center,38.0012488197,-122.5377641742,79989,,https://www.sonomamarintrain.org/stations/MCC,1,,America/Los_Angeles,1,
71032,71032,SMART Marin Civic Center,38.00123963,-122.537763819,79989,The station is located at 3801 Civic Center Drive.,https://www.sonomamarintrain.org/stations/MCC,0,7103,,1,
71052,71052,SMART Novato Downtown,38.105984503,-122.564435385,79990,,https://www.sonomamarintrain.org/node/57,0,7105,,1,
7105,7105,SMART Novato Downtown,38.1059839049,-122.5644474755,79990,,https://www.sonomamarintrain.org/node/57,1,,America/Los_Angeles,1,
71051,71051,SMART Novato Downtown,38.105989951,-122.564439887,79990,,https://www.sonomamarintrain.org/node/57,0,7105,,1,
7104,7104,SMART Novato Hamilton,38.0562881994,-122.5238667922,79990,,https://www.sonomamarintrain.org/stations/HAM,1,,America/Los_Angeles,1,
71042,71042,SMART Novato Hamilton,38.056281657,-122.52387291,79990,The station is located at 10 Main Gate Road Novato CA.,https://www.sonomamarintrain.org/stations/HAM,0,7104,,1,
71041,71041,SMART Novato Hamilton,38.056289119,-122.523876228,79990,"The station is located at 10 Main Gate Road, Novato CA.",https://www.sonomamarintrain.org/stations/HAM,0,7104,,1,
71061,71061,SMART Novato San Marin,38.120917089,-122.566055903,79990,"The station is located at 7700 Redwood Blvd, Novato CA.",https://www.sonomamarintrain.org/stations/NSM,0,7106,,1,
71062,71062,SMART Novato San Marin,38.120879687,-122.566061524,79990,The station is located at 7700 Redwood Blvd Novato CA.,https://www.sonomamarintrain.org/stations/NSM,0,7106,,1,
7106,7106,SMART Novato San Marin,38.120903693,-122.5660712274,79990,,https://www.sonomamarintrain.org/stations/NSM,1,,America/Los_Angeles,1,
71072,71072,SMART Petaluma Downtown,38.237255578,-122.634812404,79988,The station is located at 220 Lakeville Street Petaluma CA.,https://www.sonomamarintrain.org/stations/PET,0,7107,,1,
7107,7107,SMART Petaluma Downtown,38.2372510536,-122.6348266055,79988,"220 Lakeville Street, Petaluma CA.",https://www.sonomamarintrain.org/stations/PET,1,,America/Los_Angeles,1,
71071,71071,SMART Petaluma Downtown,38.237263138,-122.634825405,79988,"220 Lakeville Street, Petaluma CA.",https://www.sonomamarintrain.org/stations/PET,0,7107,,1,
71082,71082,SMART Petaluma North,38.2669483579,-122.6549455147,79988,,,0,7108,,1,
71081,71081,SMART Petaluma North,38.2669235792,-122.6549584963,79988,,,0,7108,,1,
7108,7108,SMART Petaluma North,38.2669309764,-122.6549548847,79988,,,1,,America/Los_Angeles,0,
71101,71101,SMART Rohnert Park,38.34711437,-122.701041055,79988,The station is located at 900 Enterprise Drive Rohnert Park CA. It cannot be accessed via Rohnert Park Expressway.,https://www.sonomamarintrain.org/stations/RPK,0,7110,,1,
7110,7110,SMART Rohnert Park,38.3471019856,-122.70104161,79988,,https://www.sonomamarintrain.org/stations/RPK,1,,America/Los_Angeles,1,
71102,71102,SMART Rohnert Park,38.34709719,-122.701030452,79988,The station is located at 900 Enterprise Drive Rohnert Park CA. It cannot be accessed via Rohnert Park Expressway.,https://www.sonomamarintrain.org/stations/RPK,0,7110,,1,
71022,71022,SMART San Rafael,37.971995,-122.5228,79989,The station is located at 680 3rd Street San Rafael CA. The Bettini Transit Center is located one block away from this station.,https://www.sonomamarintrain.org/stations/DSR,0,7102,,1,
71021,71021,SMART San Rafael,37.971973,-122.522665,79989,The station is located at 680 3rd Street San Rafael CA. The Bettini Transit Center is located one block away from this station.,https://www.sonomamarintrain.org/stations/DSR,0,7102,,1,
7102,7102,SMART San Rafael,37.972002166,-122.522659185,79989,,https://www.sonomamarintrain.org/stations/DSR,1,,America/Los_Angeles,1,
71112,71112,SMART Santa Rosa Downtown,38.437582814,-122.72176762,79991,The station is located at 7 4th Street Santa Rosa CA.,https://www.sonomamarintrain.org/stations/SRD,0,7111,,1,
71111,71111,SMART Santa Rosa Downtown,38.437584032,-122.721762602,79991,"The station is located at 7 4th Street, Santa Rosa CA.",https://www.sonomamarintrain.org/stations/SRD,0,7111,,1,
7111,7111,SMART Santa Rosa Downtown,38.4375745646,-122.72176023,79991,,https://www.sonomamarintrain.org/stations/SRD,1,,America/Los_Angeles,1,
7112,7112,SMART Santa Rosa North,38.4552277799,-122.7364540329,79991,,https://www.sonomamarintrain.org/stations/SRN,1,,America/Los_Angeles,1,
